schema,object_type,object_name,domain,rows,total_bytes,rls_enabled,force_rls,policy_count,anon_privileges,authenticated_privileges,service_role_privileges,code_references,migration_origin,status,risk,recommended_action
public,table,quotes_quote_charges,quotes,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260919000000_quotations.sql:162,active_canonical,low,retain
public,table,quotes_quote_items,quotes,960,417792,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260919000000_quotations.sql:123,active_canonical,low,retain
public,table,quotes_quotes,quotes,565,548864,true,true,3,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260919000000_quotations.sql:21,active_canonical,low,retain
public,table,website_generation_jobs,website,6507,2539520,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:163,active_canonical,low,retain
public,table,website_pages,website,37284,15007744,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:112,active_canonical,low,retain
public,table,website_section_types,website,-1,32768,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:55,active_canonical,low,retain
public,table,website_sections,website,75681,29450240,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:140,active_canonical,low,retain
public,table,website_versions,website,17111,7929856,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:88,active_canonical,low,retain
public,table,websites,website,8976,2138112,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713100000_stage2_business_presence.sql:71,active_canonical,low,retain
public,table,workforce_availability,workforce,-1,40960,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:62,active_canonical,low,retain
public,table,workforce_location_assignments,workforce,171,180224,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:35,active_canonical,low,retain
public,table,workforce_members,workforce,285,204800,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:9,active_canonical,low,retain
public,table,workforce_service_associations,workforce,108,106496,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:49,active_canonical,low,retain
public,function,current_business_id(),platform,,,,,,EXECUTE,EXECUTE,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_helper,low,set immutable search_path where advisor flags
public,function,current_identity_id(),platform,,,,,,EXECUTE,EXECUTE,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_helper,low,set immutable search_path where advisor flags
public,function,handle_new_auth_user(),platform,,,,,,,,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_security_definer,medium,retain; browser EXECUTE revoked 2026-09-23
public,function,resolve_activity_business_names(p_business_ids uuid[]),platform,,,,,,,,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_security_definer,medium,retain; browser EXECUTE revoked 2026-09-23
public,function,"resolve_muted_identities(p_business_id uuid, p_category text, p_identity_ids uuid[])",platform,,,,,,,,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_security_definer,medium,retain; browser EXECUTE revoked 2026-09-23
public,function,resolve_order_business_id(p_order_id uuid),platform,,,,,,,,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_security_definer,medium,retain; browser EXECUTE revoked 2026-09-23
public,function,rls_auto_enable(),platform,,,,,,,,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_security_definer,medium,retain; browser EXECUTE revoked 2026-09-23
public,function,set_updated_at(),platform,,,,,,EXECUTE,EXECUTE,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_helper,low,set immutable search_path where advisor flags
public,function,update_business_search_vector(),platform,,,,,,EXECUTE,EXECUTE,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_helper,low,set immutable search_path where advisor flags
public,function,update_offering_search_vector(),platform,,,,,,EXECUTE,EXECUTE,EXECUTE,python/core/platform_core services; database triggers,infra/supabase/migrations,active_helper,low,set immutable search_path where advisor flags
public,extension,btree_gist,database,,,,,,,,,GiST indexes/operator classes,extension installation,misplaced_extension,medium,move only with dependency-tested migration
storage,bucket,media,media,88,208085198,,,,SELECT,INSERT;SELECT;UPDATE;DELETE,ALL,python/core/platform_core/media/supabase_storage.py,20260901020000_media_storage.sql,active_public_media,medium,retain; review 4 orphan objects and proven test placeholders
